"","NCT.Number","Recruitment","Conditions","Interventions","Sponsor.Collaborators","Phases","Enrollment","Funded.Bys","Study.Type","Start.Date","Completion.Date","country","start_year","Completion_year","start_month","Completion_month","duration","ROR"
"1","NCT03254875","Recruiting","Breast Cancer","Behavioral: Individually tailored nurse navigation","Danish Cancer Society","NA","324","Other","Interventional","August 15, 2017","May 31, 2021","Denmark","2017","2021","8","5","45","7.2"
"2","NCT02956473","Not yet recruiting","Breast Cancer","Device: Supine MRI|Other: Neoadjuvant Therapy|Device: Ultrasound|Device: Mammography|Procedure: Standard of Care","Dana-Farber Cancer Institute","NA","74","Other","Interventional","December 2016","December 2021","United States of America","2016","2021","12","12","60","1.23333333333333"
"3","NCT03375827","Not yet recruiting","Breast Cancer","Other: IGCDG","Massachusetts General Hospital","NA","40","Other|Industry","Interventional","December 18, 2017","November 30, 2020","United States of America","2017","2020","12","11","35","1.14285714285714"
"4","NCT03289039","Recruiting","Breast Cancer","Drug: Neratinib|Drug: Fulvestrant","Dana-Farber Cancer Institute","Phase 2","152","Other|Industry","Interventional","October 25, 2017","March 31, 2025","United States of America","2017","2025","10","3","89","1.70786516853933"
"5","NCT03316586","Recruiting","Breast Cancer","Drug: Nivolumab|Drug: Cabozantinib","Dana-Farber Cancer Institute","Phase 2","35","Other|Industry","Interventional","November 30, 2017","May 31, 2025","United States of America","2017","2025","11","5","90","0.388888888888889"
"6","NCT03340402","Not yet recruiting","Breast Cancer","Radiation: Accelerated Partial Breast Irradiation|Device: AlignRT","Massachusetts General Hospital","NA","20","Other","Interventional","December 1, 2017","November 30, 2023","United States of America","2017","2023","12","11","71","0.28169014084507"
"7","NCT02926729","Not yet recruiting","Breast Cancer","Device: nonlinear microscopy imaging of excised surgical margins|Procedure: standard lumpectomy without nonlinear microscopy imaging","Dana-Farber Cancer Institute","NA","98","Other","Interventional","October 2016","August 2021","United States of America","2016","2021","10","8","58","1.68965517241379"
"8","NCT02663973","Recruiting","Breast Cancer","NA","Latin American Cooperative Oncology Group","NA","3000","Other","Observational","January 2016","April 2021","Brazil","2016","2021","1","4","63","47.6190476190476"
"9","NCT03285412","Not yet recruiting","Breast Cancer","Drug: Ribociclib|Other: Endocrine therapy","Massachusetts General Hospital","Phase 2","120","Other|Industry","Interventional","October 30, 2017","February 28, 2025","United States of America","2017","2025","10","2","88","1.36363636363636"
"10","NCT02953860","Recruiting","Breast Cancer","Drug: Fulvestrant with Enzalutamide","University of Colorado, Denver","Phase 2","24","Other|U.S. Fed","Interventional","July 6, 2017","November 2018","United States of America","2017","2018","7","11","16","1.5"
"11","NCT03051659","Recruiting","Breast Cancer","Drug: Eribulin Mesylate|Drug: Pembrolizumab","Dana-Farber Cancer Institute","Phase 2","88","Other|Industry","Interventional","March 22, 2017","August 25, 2024","United States of America","2017","2024","3","8","89","0.98876404494382"
"12","NCT02666079","Recruiting","Breast Cancer","Device: LightPath™ Imaging System.","Lightpoint Medical Limited","NA","170","Industry|Other","Interventional","May 1, 2017","December 2018","United Kingdom","2017","2018","5","12","19","8.94736842105263"
"13","NCT03183206","Recruiting","Breast Cancer","Procedure: Cryosurgery , IRE surgery ,surgery|Biological: γδ T cells|Other: γδ T cells/ Surgery","Fuda Cancer Hospital, Guangzhou","Phase 1|Phase 2","30","Other","Interventional","June 15, 2017","June 15, 2020","China","2017","2020","6","6","36","0.833333333333333"
